Aachen	ɑː k eː n
båt	/ e n . w i k t i o n a r y . o r g
böcker	¹ b ø kː ə r
bödel	b øː ˈd ɛ l
bög	b øː ɡ
bögig	b øː ɡ ɪ ɡ
böra	ˈb œ̞ . r a
börja	/ e n . w i k t i o n a r y . o r g
börja	/ e n . w i k t i o n a r y . o r g
börja	/ e n . w i k t i o n a r y . o r g
början	/ e n . w i k t i o n a r y . o r g
början	/ e n . w i k t i o n a r y . o r g
början	/ e n . w i k t i o n a r y . o r g
Börje	/ e n . w i k t i o n a r y . o r g
Börje	/ e n . w i k t i o n a r y . o r g
Börje	/ e n . w i k t i o n a r y . o r g
börs	/ e n . w i k t i o n a r y . o r g
börs	/ e n . w i k t i o n a r y . o r g
börs	/ e n . w i k t i o n a r y . o r g
c	s eː
c	s
c	k
c	s eː
c	s e
c	s i
c	k
c	k
c	s
c	s i
c	d͡ʒ
c	d͡ʒ
c	d͡ʒ eː
c	ɛ k
c	k ə
c	ǀ
c	s
c	k
c	s eː
c	s e
c	s i
c	k
c	k
c	s
c	s i
c	d͡ʒ
c	d͡ʒ
c	d͡ʒ eː
c	ɛ k
c	k ə
c	ǀ
c	s eː
c	s e
c	s i
c	k
c	k
c	s
c	s i
c	d͡ʒ
c	d͡ʒ
c	d͡ʒ eː
c	ɛ k
c	k ə
c	ǀ
café	k a ˈf eː
café	/ e n . w i k t i o n a r y . o r g
californium	k a l ɪ ˈf oː r n ɪ ɵ m
californium	/ e n . w i k t i o n a r y . o r g
calla	ˈk oː l a
Calle	² k a l ɛ
Carina	k a ² r iː n a
Carl	k ɑː r l
Carl	/ e n . w i k t i o n a r y . o r g
Carl	/ e n . w i k t i o n a r y . o r g
carpmes	k a ɾ p ˈm eː s
carpmes	/ e n . w i k t i o n a r y . o r g
centimeter	s ɛ n t ɪ ˈm eː t ɛ r
centimeter	ˈs ɛ n t ɪ m eː t ɛ r
centralort	² s ɛ n t r ɑː l ˌʊ r t
cesium	ˈs eː s ɪ ɵ m
cettisångare	s ɛ t ɪ ˈs ɔ ŋ a r ɛ
champagne	ɧ a m ˈp a n j
champinjon	ɧ a m p ɪ n ˈjː u n
chans	ɧ a ŋ s
chans	ɧ a n s
chans	ɕ a ŋ s
chans	ɕ a n s
chark	ˈɧ a r k
charkuteri	ɧ a r k ɵ t ɛ ˈr iː
Charlie	ˈɕ ɑː ɭ ɪ
Charlotta	ɧ a r ² ɭ o t a
Charlotte	ɧ a ˈɭ o t
charm	ɧ a r m
charmör	ɧ a r ˈm ɶː r
chaufför	ɧ ɔ ˈf œː r
chaufför	ɧ a ˈf œː r
check	ɕ ɛ kː
cheddar	ˈɕ ɛ dː a r
chef	ɧ eː f
chef	ɧ ɛː f
chips	ɕ ɪ p s
choklad	ɧ ʊ k ˈl ɑː d
cineast	s ɪ n e ˈa s t
citron	s ɪ ˈt r uː n
clown	ˈk l a ʊ n
clown	k l ɔ u̯ n
clownfisk	ˈk l a ʊ n ˌf ɪ s k
container	k ɔ n ˈt ɛ j n ɛ r
cool	k uː l
cowboy	ˈk a ʊ̯ b ɔ j
croissant	k r ʊ . a ˈs a ŋ
cup	k ɵ p
cup	k a p
cup	/ e n . w i k t i o n a r y . o r g
cup	/ e n . w i k t i o n a r y . o r g
cyberattack	ˌs yː b ɛ r a ˈt a k
cykel	s ʏ k e l
cykel	s yː k e l
cykel	s yː k e l
dadel	¹ d a d ɛ l
dadel	¹ d ɑː d ɛ l
dag	d ɑː ɡ
dag	d ɑː
dag	d a ɡ
dag	d a ˧˩̤
Dag	d ɑː ɡ
dags	d ɑː ɡ s
dags	d a k s
dam	d ɑː m
dam	d ɑ m
dam	/ e n . w i k t i o n a r y . o r g
dam	/ e n . w i k t i o n a r y . o r g
dam	/ e n . w i k t i o n a r y . o r g
damm	d a m
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
damm	/ e n . w i k t i o n a r y . o r g
dammsnäppa	d a m ˈs n ɛ p a
dan	d ɑː n
dan	d a n
dan	d ã̄
dan	d ã̄
dan	d ã́
Danmark	¹ d a n m a r k
dansk	d a n s k
danska	² d a n s k a
danskjävel	² d a n s k ˌj ɛː v ɛ l
dativ	ˈd ɑː t iː v
dativ	ˈd ɑː ˌt iː v
dator	² d ɑː t ɔ r
dator	² d ɑː t ʊ r
dator	/ e n . w i k t i o n a r y . o r g
dator	/ e n . w i k t i o n a r y . o r g
de	d ɔ m
de	d eː
de	d iː
de	d ɪ
de	d ɔ m
de	d eː
de	d iː
de	d eː
de	d eː
de	d eː
de	d eː
de	d eː
de	d̪ e
de	d̪ e
de	d è
de	d è
de	d è
de	d é
de	d é
de	t e ˨˦
de	d iː
de	d eː
de	d eː
de	d eː
de	d eː
de	d eː
de	d̪ e
de	d̪ e
de	d è
de	d è
de	d è
de	d é
de	d é
de	t e ˨˦
de	d eː
de	d eː
de	d eː
de	d̪ e
de	d̪ e
de	d è
de	d è
de	d è
de	d é
de	d é
de	t e ˨˦
december	d ɛ ˈs ɛ m b ɛ r
decennium	d ɛ ˈs ɛ n ɪ ɵ m
decimeter	d ɛ s ɪ ˈm eː t ɛ r
decimeter	ˈd ɛ s ɪ m eː t ɛ r
definition	d ɛ f ɪ n ɪ ¹ ɧ uː n
deg	d eː ɡ
deg	d e ɡ
deg	d eː ɡ
deg	/ e n . w i k t i o n a r y . o r g
dekameter	d ɛ k a ˈm eː t ɛ r
dela	d eː l a
dem	ˈd ɔ m
dem	t eː m ˨˦
dem	t eː m ˨˦
den	d ɛ nː
denne	ˈd ɛ ˌnː ɛ
design	d ɛ ˈs a j n
designa	d ɪ ˈs a j n a
dessa	ˈd ɛ ˌsː a
dessutom	d e ˈs ʉː t ɔ m
det	d eː
det	d ɛː
det	d ɛː
det	d eː t
det	d eː t
det	r ɛ
det	r ɛ
det	ɛ t
det	ɛ t
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	d ɛː
det	d eː t
det	d eː t
det	r ɛ
det	r ɛ
det	ɛ t
det	ɛ t
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	d eː t
det	r ɛ
det	r ɛ
det	ɛ t
det	ɛ t
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	r ɛ
det	ɛ t
det	ɛ t
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	ɛ t
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	ˈd eː t
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
det	d ə
det	d ə t
det	/ e n . w i k t i o n a r y . o r g
detektiv	d ɛ t ɛ k ˈt iː v
detta	ˈd ɛ ˌtː a
dig	d ɛ j
dig	/ e n . w i k t i o n a r y . o r g
digitaliseringsminister	d ɪ ɡ ɪ t a l ɪ ˈs eː r ɪ ŋ s m ɪ ˌn ɪ s t ɛ r
dimmig	ˌd ɪ ˈm ɪ ɡ
din	d ɪ nː
din	d i n
din	d e n
din	d e n
din	d iː n
din	d ɪ n
din	d ɪ n
din	d ĩ́
din	d ĩ́
din	t i n ˨˦
ding	d ɪ ŋ
ding	/ e n . w i k t i o n a r y . o r g
dirr	d ɪ r
dirr	/ e n . w i k t i o n a r y . o r g
diskrepans	d ɪ s k r ɛ p ˈa n s
diskrepans	d ɪ s k r ɛ p ˈa ŋ s
diskussion	d ɪ s k ɵ ˈɧ uː n
djungel	ˈj ɵ ŋ ɛ l
djungel	ˈd j ʉ ŋ e l
djungel	ˈd j ʉ ŋ e l
djup	j ʉː p
djup	/ e n . w i k t i o n a r y . o r g
djuphav	ˈj ʉː p ˌh ɑː v
djupt	j ʉː p t
djur	ˈj ʉː r
djur	/ e n . w i k t i o n a r y . o r g
djärv	j ɛ r v
djävla	ˈj ɛː v ˌl a
dock	d ɔ kː
dog	d uː ɡ
dog	/ e n . w i k t i o n a r y . o r g
dogg	d ɔ ɡ
doktor	ˈd ɔ k ˌt ɔ r
doktor	d o k ˈt o ɾ
dom	ˈd ʊ m
dom	ˈd oː m
dom	/ e n . w i k t i o n a r y . o r g
dom	/ e n . w i k t i o n a r y . o r g
dom	/ e n . w i k t i o n a r y . o r g
dom	ˈd oː m
dom	/ e n . w i k t i o n a r y . o r g
dom	/ e n . w i k t i o n a r y . o r g
dom	/ e n . w i k t i o n a r y . o r g
dopparedagen	² d ɔ p a r ɛ ˌd ɑː ɡ ɛ n
dopparedagen	² d ɔ p a r ɛ ˌd ɑː n
dopping	ˈd ɔ ˌp ɪ ŋ
dopping	/ e n . w i k t i o n a r y . o r g
dos	d uː s
dos	d o s
dos	d oː s
dos	/ e n . w i k t i o n a r y . o r g
dra	d r ɑː
dra	/ e n . w i k t i o n a r y . o r g
dragen	² d r ɑː ɡ ɛ n
dragen	¹ d r ɑː ɡ ɛ n
dragen	¹ d r ɑː ɡ ɛ n
dragon	d r a ˈɡ uː n
dragon	d ɾ a ˈɡ o n
dragon	/ e n . w i k t i o n a r y . o r g
dragspel	ˈd r ɑː ɡ . s p eː l
drake	ˈd r ɑː ˌk ɛ
dras	ˈd r ɑː s
dras	ˈd r a s
dressing	d r e s i ŋ
dricka	² d r ɪ kː a
dricker	ˈd r ɪ kː e r
drillsnäppa	ˌd r ɪ l ˈs n ɛ p a
driva	ˈd r iː ˌv a
drivkraft	ˈd r iː v ˌk r a f t
drog	d r oː ɡ
drog	d r uː ɡ
drog	d r uː ɡ
drogs	d r oː ɡ s
drogs	d r uː ɡ s
drogs	d r uː ɡ s
dromedar	d r ʊ . m ɛ . ˈd ɑː r
droppen	ˈd r ɔ pː ɛ n
droppen	ˈd r ɔ ˌpː ɛ n
droppen	ˈd r ɔ ˌpː ɛ n
dryg	d r yː ɡ
dryg	/ e n . w i k t i o n a r y . o r g
dränera	d r ɛ ² n eː r a
dräng	d r ɛ ŋː
dräng	/ e n . w i k t i o n a r y . o r g
dröm	d r œ mː
drös	d r øː s
drös	/ e n . w i k t i o n a r y . o r g
du	d ʉː
du	d ɵ
du	d ɵ
du	d ɨː
du	d ɨː
du	d ɨː
du	d ɨː
du	d ɨː
du	d iː
du	d u ˧
du	d u ˧
du	d ù
du	d ū
du	d ú
du	d ú
dubbel	ˈd ɵ b ɛ l
dubbelbeckasin	ˌd ɵ b ɛ l b ɛ k a ˈs iː n
dubbelbeckasin	/ e n . w i k t i o n a r y . o r g
dubbelgångare	ˈd ɵ b ɛ l ˌɡ ɔ ŋ a r ɛ
dubbelgångare	/ e n . w i k t i o n a r y . o r g
dubiös	d ɵ b ɪ ¹ øː s
dubiös	/ e n . w i k t i o n a r y . o r g
duk	ˈd ʉː k
duk	h i s
dum	ˈd ɵ mː
dumbom	ˌd ɵ m ˈb ʊ m
dumhuvud	ˌd ɵ m ˈh ɵ v ɵ d
dun	d ʉː n
dun	d u n
dun	d ũ̀
dun	d ũ̀
dun	d ṹ
dunge	/ e n . w i k t i o n a r y . o r g
dusch	d ɵ ɧː
dusch	/ e n . w i k t i o n a r y . o r g
dusch	/ e n . w i k t i o n a r y . o r g
duscha	² d ɵ ɕ a
duscha	² d ɵ ɧ a
dussin	² d ɵ s ɪ n
dussin	/ e n . w i k t i o n a r y . o r g
dvärg	d v ɛ r j
dvärgalåt	² d v ɛ r j a ˌl oː t
dvärgbeckasin	ˌd v ɛ r j b ɛ k a ˈs iː n
dvärgbeckasin	/ e n . w i k t i o n a r y . o r g
dvärgkanadagås	ˌd v ɛ ɾ j k a n a d a ˈɡ oː s
dvärgkanadagås	/ e n . w i k t i o n a r y . o r g
dvärgmus	d v ɛ r j ˈm ʉː s
dvärgmås	ˌd v ɛ r j ˈm oː s
dvärgskarv	d v ɛ r j ˈs k a r v
dvärgspov	ˌd v ɛ r j ˈs p uː v
dvärgspov	/ e n . w i k t i o n a r y . o r g
dvärgsumphöna	ˈd v ɛ ɾ j s ɵ m p ˈh øː n a
dvärgsumphöna	/ e n . w i k t i o n a r y . o r g
dvärgsångare	d v ɛ r j ˈs ɔ ŋ a r ɛ
dygna	ˈd ʏ ŋː ˌn a
dyr	d yː r
dyr	d ɨ̞ r
dyr	d ɨ̞ r
dyr	d ɪ r
dysfori	d y s . f u . ˈr iː
dyster	/ e n . w i k t i o n a r y . o r g
dysterkvist	ˈd ʏ s t ɛ r ˌk v ɪ s t
däka	² d ɛː k a
däka	/ e n . w i k t i o n a r y . o r g
där	d ɛː r
där	/ e n . w i k t i o n a r y . o r g
därför	/ e n . w i k t i o n a r y . o r g
därför	/ e n . w i k t i o n a r y . o r g
då	d oː
dålig	ˈd oː . l ɪ ɡ
dö	d øː
dö	/ e n . w i k t i o n a r y . o r g
död	d øː d
död	/ e n . w i k t i o n a r y . o r g
döda	² d øː d a
dödprat	² d øː d ˌp r ɑː t
dödsruna	/ e n . w i k t i o n a r y . o r g
dölja	d œ l . j a
dörr	/ e n . w i k t i o n a r y . o r g
dörr	/ e n . w i k t i o n a r y . o r g
dörr	/ e n . w i k t i o n a r y . o r g
e	eː
e	eː
e	ɛ
e	ɛː
e	ˈe
e	e
e	e
e	eː
e	eː
e	eː
e	eː
e	eː
e	eː
e	ɛ
e	e
e	e
e	é
e	ē
e	é
e	eː
e	ɛ
e	ɛː
e	ˈe
e	e
e	e
e	eː
e	eː
e	eː
e	eː
e	eː
e	eː
e	ɛ
e	e
e	e
e	é
e	ē
e	é
ed	eː d
Edvin	ˈeː d v ɪ n
EEG	eː . eː ˈɡ eː
efor	e ˈf oː r
efter	ˈɛ f t ɛ r
eftersom	² ˈɛ f t æ r ˌs ɔ m
eftersom	/ e n . w i k t i o n a r y . o r g
egentlig	ɛ ˈj ɛ n t l ɪ ɡ
egentlig	ɛ ˈj ɛ ŋ k l ɪ ɡ
egentligen	ɪ ˈj ɛ n t l ɪ ɡ ɛ n
egentligen	ɪ ˈj ɛ ŋ k l ɪ ɡ ɛ n
egg	ɛ ɡː
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egg	/ e n . w i k t i o n a r y . o r g
egga	² ɛ ɡ a
Egypten	ɛ ¹ j ʏ p t ɛ n
einsteinium	a j n ˈs t a j n ɪ ɵ m
ek	eː k
ek	ʔ eː k ˧˥
ekmes	ˌeː k ˈm eː s
ekmes	/ e n . w i k t i o n a r y . o r g
eko	ˈeː k ʊ
ekollon	² eː k ˌɔ l ɔ n
eksångare	eː k ˈs ɔ ŋ a r ɛ
el	eː l
el	e l
el	e l
el	ɛ l
el	æ l
el	ɛ l
el	éː l
el	íː l
el	èː l
el	èː l
el	èː l
el	è lː
el	/ e n . w i k t i o n a r y . o r g
el	/ e n . w i k t i o n a r y . o r g
elak	ˈeː ˌl ɑː k
elak	ˈeː ˌl a k
elcykel	ˌeː l ˈs ʏ k ɛ l
eld	ˈɛ l d
eldar	ˈɛ l ˌd a r
Eldslandet	ˈɛ l d s ˌl a n d ɛ t
elefanta	ɛ l ɛ ˈf a n ˌt a
elegant	ˌɛ l ɛ ˈɡ a n t
elektron	ɛ l ɛ k ˈt r oː n
eleonorafalk	ɛ l ɛ ɔ n oː r a ˈf a l k
eleonorafalk	/ e n . w i k t i o n a r y . o r g
elfte	ˈɛ l f ˌt ɛ
eller	ˈɛ l ɛ r
eller	/ e n . w i k t i o n a r y . o r g
elva	ˈɛ l ˌv a
emigrant	ɛ m ɪ ˈɡ r a n t
emulera	ɛ m ɵ ˈl eː r a
emulera	/ e n . w i k t i o n a r y . o r g
en	ɛ nː
en	ɛ nː
en	ɛ ŋː
en	ɛ nː
en	ɛ ŋː
enastående	² eː n a ˌs t oː ɛ n d ɛ
enastående	/ e n . w i k t i o n a r y . o r g
enda	ɛ n d a
energi	ˌɛ nː ə r ˈɧ iː
enfaldig	ˈeː n ˌf a l d ɪ ɡ
engagemang	a ŋ ɡ a ɧ ɛ ˈm a ŋ
engagera	a ŋ ɡ a ˈɧ eː r a
engelska	e ŋ e l s k a
England	ˈɛ ŋ l a n d
enhetlig	eː n ˈh eː t l ɪ ɡ
enkel	ˈɛ ŋ . k ɛ l
enkelbeckasin	ˌɛ n k ɛ l b ɛ k a ˈs iː n
enkelbeckasin	/ e n . w i k t i o n a r y . o r g
ensam	² ɛ nː s a mː
ensamhet	ˈɛ n s a m ˌh eː t
ensamhet	ˈeː n s a m ˌh eː t
entrecôte	a ŋ t r ɛ ˈk oː t
entrecôte	a n t r ɛ ˈk oː t
entrecôte	a ŋ t r ɛ ˈk oː
entrecôte	a n t r ɛ ˈk oː
entrecôte	a ŋ t r ɛ ˈk oː
entrecôte	a n t r ɛ ˈk oː
entré	a n ˈt r eː
entré	a ŋ ˈt r eː
entré	/ e n . w i k t i o n a r y . o r g
entusiasm	a ŋ t ɵ s ɪ ˈa s m
entusiasm	a n t ɵ s ɪ ˈa s m
entusiasm	ɛ n t ɵ s ɪ ˈa s m
entusiasm	/ e n . w i k t i o n a r y . o r g
er	eː r
er	ɛ r
era	eː r a
erbium	ˈɛ r b ɪ ɵ m
erinra	ˈeː ˌr ɪ n r a
erkänna	ˈeː r ɕ ɛ ˌn a
erkänt	ˈɛː r ˌɕ ɛ n t
erkänt	ˈeː r ˌɕ ɛ n t
errata	ɛ ˈr ɑː t a
errata	e ˈr ɑː t a
errata	e ˈr ɑː t a
Eskilstuna	ˈɛ̂ sː k ɪ l s ˌt ʉː n a
esperanto	ˌɛ s . p ə r . ˈa n . t ɔ
esperanto	ˌɛ s . p ə r . ˈa n . t ʊ
estniska	ˈɛ s t n ɪ s k a
ett	ɛ t
ett	e tː
ett	e tː
ett	e tː
ett	ɛ tː
ett	/ e n . w i k t i o n a r y . o r g
ett	/ e n . w i k t i o n a r y . o r g
euro	¹ ɛ͡ɵ r ʊ
euro	¹ ɛ v r ʊ
euro	¹ j uː r ʊ
euro	ˈe ɨ̯ r ɔ
euro	ˈe i̯ r ɔ
Europa	ɛ ˈr uː p a
europium	ɛ ˈr uː p ɪ ɵ m
europé	ɛ r ʊ ˈp eː
Eva	² eː v a
Eva	ˈʔ e b a
Eva	/ e n . w i k t i o n a r y . o r g
Evelina	ɛ v ɛ ² l iː n a
event	ɛ ˈv ɛ n t
Excel	ɛ k ˈs ɛ lː
experiment	ɛ k s p ɛ r ɪ ˈm ɛ n t
fabrik	f a ˈb r iː k
fabrik	ɸ a b r i k
fabrik	ɸ a b r i k
fackverk	ˈf a k ˌv ɛ r k
fader	ˈf ɑː d ɛ r
fader	/ e n . w i k t i o n a r y . o r g
falang	f a ˈl a ŋ
falla	² f a lː a
fallskärm	ˈf a l ˌɧ ɛ r m
falsk	f a l s k
falsk	/ e n . w i k t i o n a r y . o r g
fan	ˈf aː n
fan	ˈf aː ˌaː n
fan	ˈf ɛː n
fan	v a n
fan	f ɔ n
fan	f ɔ n
fan	ˈf ɛː n
fan	v a n
fan	f ɔ n
fan	f ɔ n
far	f ɑː r
far	f ɑː r
far	f ɑː r
far	f aː r
far	f æː r
far	f eː r
far	f ɑː r
far	f ɒː r
far	f ɔː r
far	/ e n . w i k t i o n a r y . o r g
far	/ e n . w i k t i o n a r y . o r g
far	/ e n . w i k t i o n a r y . o r g
far	/ e n . w i k t i o n a r y . o r g
farlig	² f ɑː r ˌl ɪ ɡ
farlig	/ e n . w i k t i o n a r y . o r g
fars	f ɑː r s
fars	/ e n . w i k t i o n a r y . o r g
fartkamera	ˈf ɑː ʈ ˌk ɑː m ɛ r a
farväl	f ɑː r ˈv ɛː l
farväl	f a r ˈv ɛː l
fatabur	² f ɑː t a ˌb ʉː r
fattig	ˈf a ˌt ɪ ɡ
fattig	/ e n . w i k t i o n a r y . o r g
februari	f ɛ b r ɵ ˈɑː r ɪ
fejs	f ɛ j s
fel	f eː l
fel	f e l
fel	v ɛ l
fel	/ e n . w i k t i o n a r y . o r g
fem	f ɛ m
femtal	f ɛ m t ɑː l
femte	ˈf ɛ m ˌt ɛ
femtio	² f ɛ m t ɪ . ʊ
femtio	² f ɛ m t ɪ
femtiöring	f ɛ m t ɪ ˌœː r ɪ ŋ
femton	ˈf ɛ m ˌt ɔ n
fena	ˈf eː ˌn a
fest	f ɛ sː t
fet	f eː t
fett	f ɛ t
Fia	² f iː a
ficka	ˈf ɪ ˌkː a
fiende	² f iː ˌɛ n d ɛ
fientlig	f ɪ ˈɛ n t l ɪ ɡ
figur	f ɪ ˈɡ ʉː r
fik	f iː k
fik	/ e n . w i k t i o n a r y . o r g
fika	² f iː k a
fika	/ e n . w i k t i o n a r y . o r g
fikarast	² f iː k a ˌr a s t
fiktiv	/ e n . w i k t i o n a r y . o r g
fil	f iː l
fil	f iː l
fil	f iː l
fil	f i l
fil	v iː l
fil	f iː l
fil	f iː l
fil	f i l
fil	v iː l
fil	f iː l
fil	f i l
fil	v iː l
Filippa	f ɪ ² l ɪ p a
filippintörnskata	f ɪ l ɪ p iː n t øː r n ˈs k ɑː t a
filmatisera	f ɪ l m a t ɪ ˈs eː r a
filmjölk	ˈf iː l ˌm j œ l k
filosofie	f ɪ l ɔ s ɔ ² f iː ɛ
filosofie	f ɪ l ʊ s ʊ ² f iː ɛ
filosofisk	f ɪ l ʊ ˈs oː f ɪ s k
filosofisk	/ e n . w i k t i o n a r y . o r g
fimpa	² f ɪ m ˌp a
fin	f iː n
fin	/ e n . w i k t i o n a r y . o r g
final	f ɪ ˈn ɑː l
final	f i n a l
finger	ˈf ɪ ŋː ɛ r
finger	ˈf ɪ ŋ ə r
fingers	ˈf ɪ ŋ ɛ r s
fingers	/ e n . w i k t i o n a r y . o r g
Finland	ˈf ɪ n ˌl a n d
Finland	ˈf i n l ɑ n d
Finland	ˈf i n l ɑ n d
Finland	ˈf i n l ɑ n d
finna	ˈf ɪ n ˌa
finnjävel	² f ɪ n ˌj ɛː v ɛ l
finska	² f ɪ n s k a
firre	² f ɪ r ɛ
fisk	f ɪ s k
fisk	f ɪ s k
fisk	f ɪ s k
fisk	f ɪ s k
fisk	f e ɪ s k
fisk	/ e n . w i k t i o n a r y . o r g
fiske	² f ɪ s k ɛ
fisken	ˈf ɪ sː k ɛ n
fisken	ˈf ɪ sː ˌk ɛ n
fisken	ˈf ɪ sː ˌk ɛ n
fiskens	ˈf ɪ sː k ɛ n s
fiskens	ˈf ɪ sː ˌk ɛ n s
fiskens	ˈf ɪ sː ˌk ɛ n s
fisktärna	ˌf ɪ s k ˈt ɜ r n a
fission	f ɪ ˈɧ uː n
fitta	ˈf ɪ ˌtː a
fittig	ˈf ɪ ˌtː ɪ ɡ
fjantig	² f j a n t ɪ ɡ
fjol	f j uː l
fjompig	ˈf j ɔ mː ˌp ɪ ɡ
fjor	f j uː r
fjord	ˈf j uː r d
fjord	ˈf j oː r d
fjord	ˈf j oː r d
fjord	/ e n . w i k t i o n a r y . o r g
fjortis	ˈf j oː ʈ ɪ s
fjortis	ˈf j uː ʈ ɪ s
fjorton	ˈf j uː ˌʈ ɔ n
fjorton	ˈf j ʊ ˌʈ ɔ n
fjällabb	² f j ɛ l ˌl a b
fjällgås	ˌf j ɛ l ˈɡ oː s
fjällgås	/ e n . w i k t i o n a r y . o r g
fjällpipare	ˌf j ɛ l ˈp iː p a ɾ ɛ
fjällpipare	/ e n . w i k t i o n a r y . o r g
fjällripa	ˌf j ɛ l ˈɾ iː p a
fjällripa	/ e n . w i k t i o n a r y . o r g
fjälluggla	f j ɛ l ˈɵ ɡ l a
fjärd	f j æː ɖ
fjärde	ˈf j ɛː r ˌd ɛ
fjäril	ˈf j ɛː ˌr ɪ l
fjärt	ˈf j æ ʈ
fjärt	/ e n . w i k t i o n a r y . o r g
flarra	² f l a r a
flarra	/ e n . w i k t i o n a r y . o r g
flata	ˈf l ɑː ˌt a
fleece	f l iː s
flicka	ˈf l ɪ ˌkː a
flickan	ˈf l ɪ kː ˌa n
flickor	ˈf l ɪ ˌk ʊ r
flod	f l uː d
flod	f l o d
flodvåg	ˈf l uː d ˌv oː ɡ
flottningsmärke	² f l ɔ tː n ɪ ŋ s ˌm ɛ r k ɛ
flottningsmärke	/ e n . w i k t i o n a r y . o r g
flummig	f l ɵ . m ɪ ɡ
fluor	ˈf l oː r
flygskam	ˈf l yː ɡ ˌs k a m
flyktig	ˌf l ʏ k ˈt ɪ ɡ
flyta	² f l yː t a
flytta	² f l ʏ tː a
fläckdrillsnäppa	ˌf l ɛ k d r ɪ l ˈs n ɛ p a
flå	f l oː
flår	f l oː r
flört	/ e n . w i k t i o n a r y . o r g
flört	/ e n . w i k t i o n a r y . o r g
flört	/ e n . w i k t i o n a r y . o r g
flörta	/ e n . w i k t i o n a r y . o r g
flörta	/ e n . w i k t i o n a r y . o r g
flörta	/ e n . w i k t i o n a r y . o r g
flöte	² f l øː t ɛ
flöte	/ e n . w i k t i o n a r y . o r g
focka	ˈf ɔ ˌk a
folkmusik	² f ɔ l k m ɵ ˈs iː k
folköl	² f ɔ l k ˌøː l
fonetik	f ɔ n e ˈt iː k
fonetik	/ e n . w i k t i o n a r y . o r g
formation	f ɔ r m a ˈɧ uː n
fors	f ɔ ʂː
forstmästare	² f ɔ r s t ˌm ɛ s t a r ɛ
forstmästare	ˈf ɔ r s t ˌm ɛ s t ɑ r e
forstmästare	ˈf ɔ r s t ˌm ɛ s t ɑ r e
forstväsen	ˈf ɔ r s t ˌv eː s e n
forstväsen	² f ɔ r s t ˌv ɛː s ɛ n
forstväsen	² f ɔ r s t ˌv ɛː s ɛ n
fort	ˈf ʊ ʈ
fort	ˈf ɔ ʈ
fort	ˈf ɔ ʈ
fosfor	ˈf ɔ s ˌf ɔ r
fosfor	ˈf ɔ s f ɔ r
fosfor	/ e n . w i k t i o n a r y . o r g
foster	f ʊ s t ɛ r
fosterland	ˈf ʊ s t æ r ˌl a n d
fosterland	/ e n . w i k t i o n a r y . o r g
fot	f uː t
fotboll	ˈf uː t ˌb ɔ l
fotnot	ˈf uː t ˌn uː t
foula	ˈf a ʊ ˌl a
foxtrot	ˈf ɔ k s t r ɔ t
frakt	f r a k t
fram	f r a m
framför	² f r a m f œː r
framför	² f r a m f œː r
framför	² f r a m f œː r
fransk	f r a n s k
franska	² f r a n s k a
fred	f r eː d
fred	/ e n . w i k t i o n a r y . o r g
fredag	ˈf r eː d ɑː ɡ
fredag	ˈf r eː d a
Fredrika	f r ɛ d ² r iː k a
Fredrika	f r eː d ² r iː k a
freestyle	ˈf ɹ iː s t a j l
fri	f r iː
fri	v r iː
fri	v r iː
frid	f r iː d
frid	/ e n . w i k t i o n a r y . o r g
friggebod	² f r ɪ ɡ ɛ ˌb uː d
frihet	f r iː h eː t
Fritiof	¹ f r ɪ t ɕ ɔ f
fritis	¹ f r iː t ɪ s
fru	f r ʉː
fru	/ e n . w i k t i o n a r y . o r g
frugge	² f r ɵ ɡ ɛ
frukt	ˈf r ɵ k t
frunch	f r ɵ n ɧ
frunch	/ e n . w i k t i o n a r y . o r g
frys	f r yː s
frys	v r ɨː s
frys	v r ɨː s
frys	v r iː s
främlingsfientlig	² f r ɛ m l ɪ ŋ s f ɪ ˌɛ n t l ɪ ɡ
främlingsfientlighet	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ ˌh eː t
främmat	² f r ɛ m a t
främmat	/ e n . w i k t i o n a r y . o r g
frände	f r ɛ n ˈd ɛ
fråga	ˈf r oː ˌɡ a
från	f r oː n
